Id,Name,BvD,Country_Id,TURN,P/L_bef_tax,Net_inc,CF,TASS,EC,Ratio,Prof_marg,ROE,ROCE,Solvency,EM,point,Cluster
EASIN_1,2 EXCEL ENGINEERING LIMITED,GB08965471,GB,4.305071783022292,-0.0553844227190499,-0.051940550095163546,2.791690649020118,3.901730691729219,0.0,-0.2192891698866296,0.061480721603900695,0.0709951307856066,0.04505180623103201,-3.107539780830931,2.285557309007774,"(51.5073219, -0.1276474, 0.0)",0
EASIN_2,450 AIRCRAFT LEASING MSN 60280 B787 DESIGNATED ACTIVITY COMPANY,IE687948,IE,3.947531745695593,-0.060281236321698364,-0.05772223307222058,2.780677274433368,5.1467696968366505,0.0,-0.36958794382737165,-0.43856924503827044,0.0709951307856066,0.025279530392840924,-0.8168404352769382,1.7558748556724915,"(53.3498006, -6.2602964, 0.0)",1
EASIN_3,4U AIRCRAFT DESIGN AND ENGINEERING GMBH,DE6070614944,DE,3.8547916940539855,-0.05569778137366064,-0.05228292291710962,2.780677274433368,4.353358345526591,3.327767489902729,-0.22470534192053024,0.11033107358492986,0.0709951307856066,0.03952719974683155,-0.11124606179419641,1.2304489213782739,"(50.1106444, 8.6820917, 0.0)",-1
EASIN_4,A & T AEROSPACE GMBH,DE2370336579,DE,3.8547916940539855,-0.04894887781241733,-0.04695405560778771,2.998259338423699,4.282825959153527,3.249198357391113,0.07860029197790427,0.11033107358492986,0.9125871090302246,0.19552464073491266,-0.5180535641177217,0.6020599913279624,"(53.4973636, 8.4820227, 0.0)",-1
EASIN_5,A C H,FR397730219,FR,3.8547916940539855,-0.05569778137366064,-0.05228292291710962,2.780677274433368,3.807940721215499,3.472610197596045,0.012252184562621704,0.11033107358492986,0.0709951307856066,0.03952719974683155,0.5934456323194843,1.5314789170422551,"(46.5802596, 0.340196, 0.0)",-1
EASIN_6,A P L INTERNATIONAL,GBML3112650,GB,3.385069776331935,-0.05569778137366064,-0.05228292291710962,2.780677274433368,4.353358345526591,3.327767489902729,-0.22470534192053024,0.11033107358492986,0.0709951307856066,0.03952719974683155,-0.11124606179419641,1.0413926851582251,"(50.9307373, -0.2749869, 0.0)",0
EASIN_7,A. ABETE S.R.L.,IT00333460632,IT,4.243732364552649,-0.054982201162385363,-0.05148773442742842,3.077731179652392,4.602906040937135,4.3444315745748625,0.0027738835032956478,0.08634999170333373,0.01016047897331133,-0.004088114602119355,0.863045870545726,2.0791812460476247,"(40.9210826, 14.5327402, 0.0)",2
EASIN_8,A.F.T. DESIGN SRL,RO16285265,RO,2.3201462861110542,-0.057652765218844076,-0.05463535553241649,0.0,2.9041743682841634,0.0,-0.22470534192053024,0.11033107358492986,0.0709951307856066,0.03952719974683155,-0.11124606179419641,1.414973347970818,"(44.4361414, 26.1027202, 0.0)",3
EASIN_9,A.T.M. ADVANCED TOOLS AND MOULDES S.R.L. SIGLABILE IN A.T.M. S.R. L.,IT05159211217,IT,3.8354368948018585,-0.053396699909951904,-0.05037778382724842,3.1699681739968923,3.9395192526186187,3.390405156480081,-0.23824577200528174,0.3754552566092426,0.2326509462541809,0.15190932638596175,0.05304158337491962,1.7558748556724915,"(40.8358846, 14.2487679, 0.0)",2
EASIN_10,AA4P LEASING IRELAND 2 LIMITED,IE611653,IE,4.222013750171359,-0.05600178603858151,-0.05266947287737131,2.780677274433368,2.4578818967339924,2.450249108319361,7.835912687532061,0.030394133979609418,-0.16412555885701785,0.03952719974683155,2.163205055116697,1.7558748556724915,"(53.3498006, -6.2602964, 0.0)",1
EASIN_11,AAA FLIGHT SIMULATION GMBH,AT9110932735,AT,3.8547916940539855,-0.05569778137366064,-0.05228292291710962,2.780677274433368,3.93444794894897,3.1089031276673134,-0.22470534192053024,0.11033107358492986,0.0709951307856066,0.03952719974683155,-0.3468453771191375,0.47712125471966244,"(47.917685000000006, 16.8291317779467, 0.0)",-1
EASIN_12,AB AERO TECH INDUSTRI I SODERMANLAND,SE5565679197,SE,2.873320601815399,-0.05623563578082833,-0.05294557999184395,0.0,2.756636108245848,1.3617278360175928,-0.301885793403614,-0.5074038319206297,-4.66269087201935,-0.5412834030000313,-0.6811376367947564,1.2041199826559248,"(57.6575677, 12.5362422, 0.0)",-1
EASIN_13,ACATEC SL,ESB79987608,ES,3.771881320190099,-0.06192286151227106,-0.059660505015818495,0.0,3.8667597834951084,3.645815118296642,-0.14346276141202097,-0.9408396822250339,-0.3248437595651125,-0.346468332241384,1.0125897526868444,1.8512583487190752,"(40.3007708, -3.4380688, 0.0)",4
EASIN_14,ACITURRI AEROENGINES SL.,ESB09557927,ES,4.390122251506701,-0.0864957924275672,-0.07960648296532184,0.0,4.781669225054163,0.0,-0.3804202878951729,-1.145567066436438,0.0709951307856066,-1.142447819109738,-1.2146211439098529,2.143014800254095,"(42.6855632, -2.9478451, 0.0)",5
EASIN_15,ACITURRI AEROSTRUCTURES SL.,ESB83195933,ES,5.152859891145134,-0.01888047795432084,-0.0186585985166318,4.329438560779451,5.382447519536181,5.208185972108583,-0.006704417556030468,0.2879687171523086,0.055276295095212986,0.06337023825759139,1.2180997557097497,2.784617292632875,"(42.6855632, -2.9478451, 0.0)",5
EASIN_16,"ACITURRI ASSEMBLY, SOCIEDAD ANONIMA.",ESA41743154,ES,4.397592434038117,-0.057498424388961175,-0.053945087746234896,2.4082399653118496,4.26394363421885,3.7645497190644672,-0.2856372773019122,-0.022897159090604198,-0.06738577709929716,-0.02938499692451088,0.15624792457090275,2.1702617153949575,"(37.3397709, -5.8408396, 0.0)",6
EASIN_17,ACITURRI GETAFE SL.,ESB88284211,ES,3.747334109615905,-0.09157968582401313,-0.08596799088277142,0.0,3.4749443354653877,0.0,-0.3397989976409183,0.11033107358492986,0.0709951307856066,0.03952719974683155,-0.11124606179419641,1.968482948553935,"(40.3081807, -3.7302679, 0.0)",4
EASIN_18,ACL AIRSHOP REPAIR B.V.,NL28054763,NL,3.8547916940539855,-0.05569778137366064,-0.05228292291710962,2.780677274433368,2.6242820958356683,2.2227164711475833,-0.23147555696290598,0.11033107358492986,0.0709951307856066,0.03952719974683155,0.3936525986339659,1.2304489213782739,"(52.5177608, 4.7826643, 0.0)",7
EASIN_19,ACRO AIRCRAFT SEATING LIMITED,GB05859680,GB,4.361916618668643,-0.10190649044163283,-0.10116492646334539,0.0,4.605111025123903,0.0,-0.36417177179347104,-1.8610026759040559,0.0709951307856066,0.03952719974683155,-1.9057726474876173,2.2278867046136734,"(52.23433665, -0.9028072768185829, 0.0)",0
